,,,,,,,,,,,,,,,,,,,,,,Area:- 243.84 Sq.km
ward_num,No of House Holds,Total Population (includin instituional) and Houseless Population,,,Scheduled Castes,,,Schedules Tribes,,,Literates,,,illiterates,,,Total Population in the age group (0-6),,,Ward Office Name,ward_name,वॉर्डचे  नाांव
,,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,,,
59,7185,29109,15287,13822,2471,1266,1205,280,144,136,21185,11775,9410,7924,3512,4412,4008,2050,1958,Kothrud,Kishkindhanagar,ककस््कां धानगर
60,5167,19342,9796,9546,1820,917,903,97,55,42,15319,7864,7455,4023,1932,2091,1833,943,890,Kothrud,Ramkrishna Parmhance Nagar,रामकर ्र्  परमहांस  नगर
61,10204,37509,19755,17754,1696,886,810,317,182,135,31070,16513,14557,6439,3242,3197,3820,1950,1870,Kothrud,Ved Bhavan,िदभिन
62,8825,33045,17007,16038,1765,925,840,184,103,81,27804,14427,13377,5241,2580,2661,3075,1630,1445,Kothrud,Mahatma Society -Kothrud,महात्मा  सोसाय ी  कोथरूड
63,4564,18796,9753,9043,1754,912,842,147,80,67,15411,8230,7181,3385,1523,1862,1794,962,832,Kothrud,Wanaj Compani,िनाज  कां पनी
64,5277,20022,10279,9743,970,510,460,312,155,157,17162,8891,8271,2860,1388,1472,1597,876,721,Kothrud,Yashwantrao Chavan Natyagrha,यशिांतराि  चव्हार्  ना यगरह
65,3678,13200,6585,6615,837,436,401,25,16,9,11776,5866,5910,1424,719,705,725,371,354,Kothrud,Idiol Colony,आयडीयल  कॉलनी
66,4542,17087,8459,8628,647,319,328,96,55,41,14713,7278,7435,2374,1181,1193,1200,612,588,Warje,Dinanath Mangeshkar Rugnalaya,टदनानाथ    मग`शकर  रूग्र्ालय
67,3253,12909,6018,6891,489,217,272,65,28,37,11370,5345,6025,1539,673,866,876,439,437,Gholeroad,Deccon Jimkhana,ड`क्कन  स्जमखाना
68,3098,12659,6232,6427,1381,670,711,86,40,46,10675,5353,5322,1984,879,1105,928,490,438,Kasbavishrambaug,RajendraNagar,राजेंद्र  नगर
69,3306,12438,6065,6373,90,43,47,18,9,9,11301,5495,5806,1137,570,567,690,361,329,Kasbavishrambaug,Vishrambaugwada,विश्ामबागिाडा
70,2742,10752,5314,5438,173,89,84,32,15,17,9687,4849,4838,1065,465,600,642,351,291,Kasbavishrambaug,Mahatama Phule Mandi,महात्मा  फ¸ ल`  मडइक
71,2818,12741,6090,6651,489,113,376,27,12,15,10481,5399,5082,2260,691,1569,962,510,452,Kasbavishrambaug,City Post,मस ी  पोस् 
72,3380,14871,7506,7365,288,143,145,133,62,71,12912,6650,6262,1959,856,1103,1162,614,548,Kasbavishrambaug,Ganeshpeth Gurudwara,गर्`शप`ठ  ग¸रूव्दारा
73,3467,15953,7962,7991,800,391,409,132,65,67,13854,7034,6820,2099,928,1171,1327,697,630,Bhavanipeth,Tilak Aaurved Mahavidhyalaya,ट ळक  आयक¸िद  महाविद्यालय
74,3219,15586,7631,7955,5509,2644,2865,102,60,42,12523,6441,6082,3063,1190,1873,1499,761,738,Bhavanipeth,Rajewadi,राजिाडी
75,3104,15272,7484,7788,2526,1224,1302,11,3,8,12660,6375,6285,2612,1109,1503,1479,788,691,Bhavanipeth,Harkanagar,हरकानगर
76,3409,17454,8847,8607,2621,1285,1336,27,17,10,12957,6963,5994,4497,1884,2613,2058,1073,985,Bhavanipeth,Jonral Arunkumar vaidya Stedium,जनरल  अरूर्क¸ मार  िद्य  स् `डडयम
77,3545,17270,8585,8685,943,467,476,92,40,52,13898,7168,6730,3372,1417,1955,1689,899,790,Bhavanipeth,Doke Talim,डोक`   तामलम
78,2993,14997,7506,7491,1124,569,555,30,16,14,12422,6374,6048,2575,1132,1443,1498,756,742,Bhavanipeth,Swami Samarth Mandir Ganesh peth,स्िामी  समथक  मदीर  गर्`शप`ठ
79,3065,13707,6909,6798,169,80,89,93,54,39,11803,6087,5716,1904,822,1082,1134,634,500,Kasbavishrambaug,Dr.Kotnis Davakhana,डॉ. को र्ीस  दिाखाना
80,3528,13647,6805,6842,145,73,72,17,11,6,12216,6209,6007,1431,596,835,832,438,394,Kasbavishrambaug,Renuka Swarup Prashala,र`र्¸का  स्िरूप  िशाला
81,3412,13271,6599,6672,2483,1184,1299,93,42,51,11195,5692,5503,2076,907,1169,913,462,451,Kasbavishrambaug,S.P.Collage,एस.पी.कॉल`ज
82,3203,14026,6996,7030,519,259,260,121,56,65,12011,6092,5919,2015,904,1111,1066,568,498,Kasbavishrambaug,Subhashnagar,स¸भाषनगर
83,2822,12547,6348,6199,1523,754,769,123,65,58,10489,5380,5109,2058,968,1090,1073,606,467,Bhavanipeth,Ghorpade Udhyan,घोरपड`  उद्यान
84,3726,18332,9130,9202,767,375,392,87,49,38,15106,7725,7381,3226,1405,1821,1884,969,915,Kasbavishrambaug,Panch Houd Mission,पचहौद  ममशन
