ward_no,ward_name,population,bus_stop_count,area_sqkm,year,model
6,Yerwada Prizen Press,30078.579451196507,28,5.276719961460563,2022,logistic
6,Yerwada Prizen Press,30436.92534630958,28,5.276719961460563,2023,logistic
6,Yerwada Prizen Press,30794.745142943964,28,5.276719961460563,2024,logistic
6,Yerwada Prizen Press,31151.92845510317,28,5.276719961460563,2025,logistic
6,Yerwada Prizen Press,31508.36568607903,28,5.276719961460563,2026,logistic
6,Yerwada Prizen Press,31863.94816167031,28,5.276719961460563,2027,logistic
6,Yerwada Prizen Press,32218.568260987475,28,5.276719961460563,2028,logistic
6,Yerwada Prizen Press,32572.11954451384,28,5.276719961460563,2029,logistic
6,Yerwada Prizen Press,32924.49687910585,28,5.276719961460563,2030,logistic
7,Lohagaon Vimantal,33810.0,50,13.83277263943663,2011,logistic
7,Lohagaon Vimantal,34271.545899924095,50,13.83277263943663,2012,logistic
7,Lohagaon Vimantal,34733.99841383679,50,13.83277263943663,2013,logistic
7,Lohagaon Vimantal,35197.21531051704,50,13.83277263943663,2014,logistic
7,Lohagaon Vimantal,35661.0534098388,50,13.83277263943663,2015,logistic
7,Lohagaon Vimantal,36125.36875878019,50,13.83277263943663,2016,logistic
7,Lohagaon Vimantal,36590.016809472305,50,13.83277263943663,2017,logistic
7,Lohagaon Vimantal,37054.85259882146,50,13.83277263943663,2018,logistic
7,Lohagaon Vimantal,37519.730929231984,50,13.83277263943663,2019,logistic
7,Lohagaon Vimantal,37984.5065499509,50,13.83277263943663,2020,logistic
7,Lohagaon Vimantal,38449.03433855388,50,13.83277263943663,2021,logistic
7,Lohagaon Vimantal,38913.16948209053,50,13.83277263943663,2022,logistic
7,Lohagaon Vimantal,39376.76765740901,50,13.83277263943663,2023,logistic
7,Lohagaon Vimantal,39839.685210183496,50,13.83277263943663,2024,logistic
7,Lohagaon Vimantal,40301.77933217411,50,13.83277263943663,2025,logistic
7,Lohagaon Vimantal,40762.90823625668,50,13.83277263943663,2026,logistic
7,Lohagaon Vimantal,41222.931328769926,50,13.83277263943663,2027,logistic
7,Lohagaon Vimantal,41681.709378739826,50,13.83277263943663,2028,logistic
7,Lohagaon Vimantal,42139.10468355449,50,13.83277263943663,2029,logistic
7,Lohagaon Vimantal,42594.98123067914,50,13.83277263943663,2030,logistic
8,Kharadigaon,37947.0,30,4.761967203615412,2011,logistic
8,Kharadigaon,38465.020770908595,30,4.761967203615412,2012,logistic
8,Kharadigaon,38984.05908931868,30,4.761967203615412,2013,logistic
8,Kharadigaon,39503.95532056167,30,4.761967203615412,2014,logistic
8,Kharadigaon,40024.548764955725,30,4.761967203615412,2015,logistic
8,Kharadigaon,40545.67785535144,30,4.761967203615412,2016,logistic
8,Kharadigaon,41067.18035696674,30,4.761967203615412,2017,logistic
8,Kharadigaon,41588.89356898781,30,4.761967203615412,2018,logistic
8,Kharadigaon,42110.65452740509,30,4.761967203615412,2019,logistic
8,Kharadigaon,42632.30020854738,30,4.761967203615412,2020,logistic
8,Kharadigaon,43153.66773277445,30,4.761967203615412,2021,logistic
8,Kharadigaon,43674.594567787324,30,4.761967203615412,2022,logistic
8,Kharadigaon,44194.91873101744,30,4.761967203615412,2023,logistic
8,Kharadigaon,44714.47899055999,30,4.761967203615412,2024,logistic
8,Kharadigaon,45233.11506412337,30,4.761967203615412,2025,logistic
8,Kharadigaon,45750.66781547567,30,4.761967203615412,2026,logistic
8,Kharadigaon,46266.97944788028,30,4.761967203615412,2027,logistic
8,Kharadigaon,46781.89369402662,30,4.761967203615412,2028,logistic
8,Kharadigaon,47295.256001976995,30,4.761967203615412,2029,logistic
8,Kharadigaon,47806.91371666908,30,4.761967203615412,2030,logistic
9,Kharadi Infotech Park,24332.0,19,2.9569376526186595,2011,logistic
9,Kharadi Infotech Park,24664.160154893612,19,2.9569376526186595,2012,logistic
9,Kharadi Infotech Park,24996.972771531404,19,2.9569376526186595,2013,logistic
9,Kharadi Infotech Park,25330.33549055015,19,2.9569376526186595,2014,logistic
9,Kharadi Infotech Park,25664.145269689376,19,2.9569376526186595,2015,logistic
9,Kharadi Infotech Park,25998.29851045962,19,2.9569376526186595,2016,logistic
9,Kharadi Infotech Park,26332.69118627862,19,2.9569376526186595,2017,logistic
9,Kharadi Infotech Park,26667.218971739832,19,2.9569376526186595,2018,logistic
9,Kharadi Infotech Park,27001.777372672957,19,2.9569376526186595,2019,logistic
9,Kharadi Infotech Park,27336.261856652036,19,2.9569376526186595,2020,logistic
9,Kharadi Infotech Park,27670.567983605237,19,2.9569376526186595,2021,logistic
9,Kharadi Infotech Park,28004.59153617944,19,2.9569376526186595,2022,logistic
9,Kharadi Infotech Park,28338.228649514225,19,2.9569376526186595,2023,logistic
9,Kharadi Infotech Park,28671.37594008237,19,2.9569376526186595,2024,logistic
9,Kharadi Infotech Park,29003.930633258224,19,2.9569376526186595,2025,logistic
9,Kharadi Infotech Park,29335.790689281206,19,2.9569376526186595,2026,logistic
9,Kharadi Infotech Park,29666.854927288667,19,2.9569376526186595,2027,logistic
9,Kharadi Infotech Park,29997.023147101372,19,2.9569376526186595,2028,logistic
9,Kharadi Infotech Park,30326.196248454537,19,2.9569376526186595,2029,logistic
9,Kharadi Infotech Park,30654.27634737903,19,2.9569376526186595,2030,logistic
10,Sundrabai Marathe Vidhyalaya,24433.000000000004,18,0.9933107771949296,2011,logistic
10,Sundrabai Marathe Vidhyalaya,24766.538922592295,18,0.9933107771949296,2012,logistic
10,Sundrabai Marathe Vidhyalaya,25100.733015240297,18,0.9933107771949296,2013,logistic
10,Sundrabai Marathe Vidhyalaya,25435.47949369603,18,0.9933107771949296,2014,logistic
10,Sundrabai Marathe Vidhyalaya,25770.67488797964,18,0.9933107771949296,2015,logistic
10,Sundrabai Marathe Vidhyalaya,26106.2151695734,18,0.9933107771949296,2016,logistic
10,Sundrabai Marathe Vidhyalaya,26441.995880089824,18,0.9933107771949296,2017,logistic
10,Sundrabai Marathe Vidhyalaya,26777.912261076748,18,0.9933107771949296,2018,logistic
10,Sundrabai Marathe Vidhyalaya,27113.85938461772,18,0.9933107771949296,2019,logistic
10,Sundrabai Marathe Vidhyalaya,27449.73228438185,18,0.9933107771949296,2020,logistic
10,Sundrabai Marathe Vidhyalaya,27785.426086775722,18,0.9933107771949296,2021,logistic
10,Sundrabai Marathe Vidhyalaya,28120.8361418491,18,0.9933107771949296,2022,logistic
10,Sundrabai Marathe Vidhyalaya,28455.85815360764,18,0.9933107771949296,2023,logistic
10,Sundrabai Marathe Vidhyalaya,28790.388309388156,18,0.9933107771949296,2024,logistic
10,Sundrabai Marathe Vidhyalaya,29124.323407956526,18,0.9933107771949296,2025,logistic
10,Sundrabai Marathe Vidhyalaya,29457.56098599407,18,0.9933107771949296,2026,logistic
10,Sundrabai Marathe Vidhyalaya,29789.999442645243,18,0.9933107771949296,2027,logistic
10,Sundrabai Marathe Vidhyalaya,30121.538161808643,18,0.9933107771949296,2028,logistic
10,Sundrabai Marathe Vidhyalaya,30452.07763186297,18,0.9933107771949296,2029,logistic
10,Sundrabai Marathe Vidhyalaya,30781.519562531314,18,0.9933107771949296,2030,logistic
11,Vadgaon Sheri,32731.0,16,1.5126387118357376,2011,logistic
11,Vadgaon Sheri,33177.8162925293,16,1.5126387118357376,2012,logistic
11,Vadgaon Sheri,33625.51026569926,16,1.5126387118357376,2013,logistic
11,Vadgaon Sheri,34073.944227404114,16,1.5126387118357376,2014,logistic
11,Vadgaon Sheri,34522.97956691612,16,1.5126387118357376,2015,logistic
11,Vadgaon Sheri,34972.47692527757,16,1.5126387118357376,2016,logistic
11,Vadgaon Sheri,35422.2963676675,16,1.5126387118357376,2017,logistic
11,Vadgaon Sheri,35872.29755729149,16,1.5126387118357376,2018,logistic
11,Vadgaon Sheri,36322.339930336944,16,1.5126387118357376,2019,logistic
11,Vadgaon Sheri,36772.282871530406,16,1.5126387118357376,2020,logistic
11,Vadgaon Sheri,37221.98588983162,16,1.5126387118357376,2021,logistic
11,Vadgaon Sheri,37671.30879379785,16,1.5126387118357376,2022,logistic
11,Vadgaon Sheri,38120.11186615363,16,1.5126387118357376,2023,logistic
11,Vadgaon Sheri,38568.25603710488,16,1.5126387118357376,2024,logistic
11,Vadgaon Sheri,39015.60305594176,16,1.5126387118357376,2025,logistic
11,Vadgaon Sheri,39462.01566048262,16,1.5126387118357376,2026,logistic
11,Vadgaon Sheri,39907.357743920984,16,1.5126387118357376,2027,logistic
11,Vadgaon Sheri,40351.49451864931,16,1.5126387118357376,2028,logistic
11,Vadgaon Sheri,40794.29267664662,16,1.5126387118357376,2029,logistic
11,Vadgaon Sheri,41235.620546032515,16,1.5126387118357376,2030,logistic
12,Ramwadi,25865.0,29,1.8183727106671983,2011,logistic
12,Ramwadi,26218.0873913498,29,1.8183727106671983,2012,logistic
12,Ramwadi,26571.868351786117,29,1.8183727106671983,2013,logistic
12,Ramwadi,26926.234072952477,29,1.8183727106671983,2014,logistic
12,Ramwadi,27281.075020570268,29,1.8183727106671983,2015,logistic
12,Ramwadi,27636.28106908754,29,1.8183727106671983,2016,logistic
12,Ramwadi,27991.741637888234,29,1.8183727106671983,2017,logistic
12,Ramwadi,28347.34582870503,29,1.8183727106671983,2018,logistic
12,Ramwadi,28702.98256387416,29,1.8183727106671983,2019,logistic
12,Ramwadi,29058.54072506596,29,1.8183727106671983,2020,logistic
12,Ramwadi,29413.90929212352,29,1.8183727106671983,2021,logistic
12,Ramwadi,29768.97748164069,29,1.8183727106671983,2022,logistic
12,Ramwadi,30123.634884912277,29,1.8183727106671983,2023,logistic
12,Ramwadi,30477.771604891932,29,1.8183727106671983,2024,logistic
12,Ramwadi,30831.278391797798,29,1.8183727106671983,2025,logistic
12,Ramwadi,31184.0467770121,29,1.8183727106671983,2026,logistic
12,Ramwadi,31535.969204928548,29,1.8183727106671983,2027,logistic
12,Ramwadi,31886.939162410697,29,1.8183727106671983,2028,logistic
12,Ramwadi,32236.851305534958,29,1.8183727106671983,2029,logistic
12,Ramwadi,32585.601583304237,29,1.8183727106671983,2030,logistic
13,Agakhan Pallace,25272.0,12,4.58290424869691,2011,logistic
13,Agakhan Pallace,25616.99225030706,12,4.58290424869691,2012,logistic
13,Agakhan Pallace,25962.66216842601,12,4.58290424869691,2013,logistic
13,Agakhan Pallace,26308.90344062072,12,4.58290424869691,2014,logistic
13,Agakhan Pallace,26655.60904387596,12,4.58290424869691,2015,logistic
13,Agakhan Pallace,27002.671377459126,12,4.58290424869691,2016,logistic
13,Agakhan Pallace,27349.982396006628,12,4.58290424869691,2017,logistic
13,Agakhan Pallace,27697.433743786332,12,4.58290424869691,2018,logistic
13,Agakhan Pallace,28044.916889782628,12,4.58290424869691,2019,logistic
13,Agakhan Pallace,28392.32326324635,12,4.58290424869691,2020,logistic
13,Agakhan Pallace,28739.5443893503,12,4.58290424869691,2021,logistic
13,Agakhan Pallace,29086.47202459012,12,4.58290424869691,2022,logistic
13,Agakhan Pallace,29432.998291571737,12,4.58290424869691,2023,logistic
13,Agakhan Pallace,29779.015812829264,12,4.58290424869691,2024,logistic
13,Agakhan Pallace,30124.417843321626,12,4.58290424869691,2025,logistic
13,Agakhan Pallace,30469.098401262312,12,4.58290424869691,2026,logistic
13,Agakhan Pallace,30812.952396943907,12,4.58290424869691,2027,logistic
13,Agakhan Pallace,31155.87575922842,12,4.58290424869691,2028,logistic
13,Agakhan Pallace,31497.765559384472,12,4.58290424869691,2029,logistic
13,Agakhan Pallace,31838.520131964608,12,4.58290424869691,2030,logistic
14,Don Bosco  Highschool,18483.0,11,1.202557615248364,2011,logistic
14,Don Bosco  Highschool,18735.31448885824,11,1.202557615248364,2012,logistic
14,Don Bosco  Highschool,18988.124598726572,11,1.202557615248364,2013,logistic
14,Don Bosco  Highschool,19241.35257569614,11,1.202557615248364,2014,logistic
14,Don Bosco  Highschool,19494.920147117733,11,1.202557615248364,2015,logistic
14,Don Bosco  Highschool,19748.748617821188,11,1.202557615248364,2016,logistic
14,Don Bosco  Highschool,20002.758967449765,11,1.202557615248364,2017,logistic
14,Don Bosco  Highschool,20256.87194865475,11,1.202557615248364,2018,logistic
14,Don Bosco  Highschool,20511.008185891595,11,1.202557615248364,2019,logistic
14,Don Bosco  Highschool,20765.08827455612,11,1.202557615248364,2020,logistic
14,Don Bosco  Highschool,21019.032880197912,11,1.202557615248364,2021,logistic
14,Don Bosco  Highschool,21272.762837547452,11,1.202557615248364,2022,logistic
14,Don Bosco  Highschool,21526.19924909467,11,1.202557615248364,2023,logistic
14,Don Bosco  Highschool,21779.263582958345,11,1.202557615248364,2024,logistic
14,Don Bosco  Highschool,22031.877769789236,11,1.202557615248364,2025,logistic
14,Don Bosco  Highschool,22283.964298454073,11,1.202557615248364,2026,logistic
14,Don Bosco  Highschool,22535.446310253017,11,1.202557615248364,2027,logistic
14,Don Bosco  Highschool,22786.24769143,11,1.202557615248364,2028,logistic
14,Don Bosco  Highschool,23036.293163742608,11,1.202557615248364,2029,logistic
14,Don Bosco  Highschool,23285.508372867276,11,1.202557615248364,2030,logistic
15,NagpurChawl,16691.0,4,0.4213511114774019,2011,logistic
15,NagpurChawl,16918.85160058069,4,0.4213511114774019,2012,logistic
15,NagpurChawl,17147.15076975303,4,0.4213511114774019,2013,logistic
15,NagpurChawl,17375.827292157348,4,0.4213511114774019,2014,logistic
15,NagpurChawl,17604.810483987563,4,0.4213511114774019,2015,logistic
15,NagpurChawl,17834.0292798817,4,0.4213511114774019,2016,logistic
15,NagpurChawl,18063.412320819352,4,0.4213511114774019,2017,logistic
15,NagpurChawl,18292.88804279589,4,0.4213511114774019,2018,logistic
15,NagpurChawl,18522.384766039962,4,0.4213511114774019,2019,logistic
15,NagpurChawl,18751.830784538022,4,0.4213511114774019,2020,logistic
15,NagpurChawl,18981.1544556286,4,0.4213511114774019,2021,logistic
15,NagpurChawl,19210.284289428368,4,0.4213511114774019,2022,logistic
15,NagpurChawl,19439.149037853113,4,0.4213511114774019,2023,logistic
15,NagpurChawl,19667.677782998308,4,0.4213511114774019,2024,logistic
15,NagpurChawl,19895.80002464709,4,0.4213511114774019,2025,logistic
15,NagpurChawl,20123.445766677323,4,0.4213511114774019,2026,logistic
15,NagpurChawl,20350.545602144302,4,0.4213511114774019,2027,logistic
15,NagpurChawl,20577.03079682184,4,0.4213511114774019,2028,logistic
15,NagpurChawl,20802.83337099107,4,0.4213511114774019,2029,logistic
15,NagpurChawl,21027.88617927435,4,0.4213511114774019,2030,logistic
16,"PhuleNagar ,Yerwada",15724.0,15,2.3852632266516585,2011,logistic
16,"PhuleNagar ,Yerwada",15938.650923703237,15,2.3852632266516585,2012,logistic
16,"PhuleNagar ,Yerwada",16153.723485926344,15,2.3852632266516585,2013,logistic
16,"PhuleNagar ,Yerwada",16369.151539265598,15,2.3852632266516585,2014,logistic
16,"PhuleNagar ,Yerwada",16584.86849501051,15,2.3852632266516585,2015,logistic
16,"PhuleNagar ,Yerwada",16800.80740500029,15,2.3852632266516585,2016,logistic
16,"PhuleNagar ,Yerwada",17016.90104442894,15,2.3852632266516585,2017,logistic
16,"PhuleNagar ,Yerwada",17233.081995382094,15,2.3852632266516585,2018,logistic
16,"PhuleNagar ,Yerwada",17449.282730885647,15,2.3852632266516585,2019,logistic
16,"PhuleNagar ,Yerwada",17665.435699243655,15,2.3852632266516585,2020,logistic
16,"PhuleNagar ,Yerwada",17881.473408441918,15,2.3852632266516585,2021,logistic
16,"PhuleNagar ,Yerwada",18097.328510393123,15,2.3852632266516585,2022,logistic
16,"PhuleNagar ,Yerwada",18312.93388480033,15,2.3852632266516585,2023,logistic
16,"PhuleNagar ,Yerwada",18528.222722417195,15,2.3852632266516585,2024,logistic
16,"PhuleNagar ,Yerwada",18743.12860748612,15,2.3852632266516585,2025,logistic
16,"PhuleNagar ,Yerwada",18957.585599139307,15,2.3852632266516585,2026,logistic
16,"PhuleNagar ,Yerwada",19171.528311552152,15,2.3852632266516585,2027,logistic
16,"PhuleNagar ,Yerwada",19384.891992644338,15,2.3852632266516585,2028,logistic
16,"PhuleNagar ,Yerwada",19597.61260113016,15,2.3852632266516585,2029,logistic
16,"PhuleNagar ,Yerwada",19809.626881727265,15,2.3852632266516585,2030,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,15989.999999999998,5,0.21162318951022907,2011,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,16208.282133681934,5,0.21162318951022907,2012,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,16426.993038664605,5,0.21162318951022907,2013,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,16646.06544854089,5,0.21162318951022907,2014,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,16865.431648131394,5,0.21162318951022907,2015,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,17085.023556725682,5,0.21162318951022907,2016,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,17304.77281228814,5,0.21162318951022907,2017,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,17524.610856408017,5,0.21162318951022907,2018,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,17744.469019769873,5,0.21162318951022907,2019,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,17964.278607918215,5,0.21162318951022907,2020,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,18183.970987088924,5,0.21162318951022907,2021,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,18403.47766987955,5,0.21162318951022907,2022,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,18622.730400531498,5,0.21162318951022907,2023,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,18841.66123959876,5,0.21162318951022907,2024,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,19060.202647780658,5,0.21162318951022907,2025,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,19278.28756869992,5,0.21162318951022907,2026,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,19495.84951041204,5,0.21162318951022907,2027,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,19712.822625437733,5,0.21162318951022907,2028,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,19929.14178911672,5,0.21162318951022907,2029,logistic
17,Netaji Subhashchandra Bose Vidhyalaya,20144.742676088717,5,0.21162318951022907,2030,logistic
18,Yerwadagaon,14960.0,15,0.3515840698570998,2011,logistic
18,Yerwadagaon,15164.221433388479,15,0.3515840698570998,2012,logistic
18,Yerwadagaon,15368.84401866307,15,0.3515840698570998,2013,logistic
18,Yerwadagaon,15573.804822399732,15,0.3515840698570998,2014,logistic
18,Yerwadagaon,15779.040491309925,15,0.3515840698570998,2015,logistic
18,Yerwadagaon,15984.487330119839,15,0.3515840698570998,2016,logistic
18,Yerwadagaon,16190.081380352136,15,0.3515840698570998,2017,logistic
